Province ID,Province Name,Valid Province,Base Tax,Base Production,Base Manpower,Trade Good,Latent Coal,Starting Fort,Estuary,Center of Trade,Great Projects,Continent,Total Score
1173,Damaraland,no,,,,,,,,,,africa,#N/A
1250,Vanern,no,,,,,,,,,,Unknown,#N/A
1251,Vattern,no,,,,,,,,,,Unknown,#N/A
1252,Gulf of Bothnia,no,,,,,,,,,,Unknown,#N/A
1253,Alands Hav,no,,,,,,,,,,Unknown,#N/A
1254,Gulf of Finland,no,,,,,,,,,,Unknown,#N/A
1255,Western Baltic Sea,no,,,,,,,,,,Unknown,#N/A
1256,Gulf of Riga,no,,,,,,,,,,Unknown,#N/A
1257,Southern Baltic Sea,no,,,,,,,,,,Unknown,#N/A
1258,Oresund,no,,,,,,,,,,Unknown,#N/A
1259,Kattegat,no,,,,,,,,,,Unknown,#N/A
1260,Peipsi Jarv,no,,,,,,,,,,Unknown,#N/A
1261,Ladoga,no,,,,,,,,,,Unknown,#N/A
1262,Onega,no,,,,,,,,,,Unknown,#N/A
1263,White Sea,no,,,,,,,,,,Unknown,#N/A
1264,Lofoten Sea,no,,,,,,,,,,Unknown,#N/A
1265,Northern Norwegian Sea,no,,,,,,,,,,Unknown,#N/A
1266,Southern Norwegian Sea,no,,,,,,,,,,Unknown,#N/A
1267,Skagerrack,no,,,,,,,,,,Unknown,#N/A
1268,Helgoland Bight,no,,,,,,,,,,Unknown,#N/A
1269,Coast of Holland,no,,,,,,,,,,Unknown,#N/A
1270,Dogger Bank,no,,,,,,,,,,Unknown,#N/A
1271,Straits of Dover,no,,,,,,,,,,Unknown,#N/A
1272,The Channel,no,,,,,,,,,,Unknown,#N/A
1274,Coast of Britanny,no,,,,,,,,,,Unknown,#N/A
1275,Quiberon Bay,no,,,,,,,,,,Unknown,#N/A
1276,Cote D'Argent,no,,,,,,,,,,europe,#N/A
1277,Bay of Biscay,no,,,,,,,,,,Unknown,#N/A
1278,Cantabrian Sea,no,,,,,,,,,,Unknown,#N/A
1279,Tyne,no,,,,,,,,,,Unknown,#N/A
1280,Firth of Forth,no,,,,,,,,,,Unknown,#N/A
1281,The North Sea,no,,,,,,,,,,europe,#N/A
1282,Moray Firth,no,,,,,,,,,,Unknown,#N/A
1283,North Channel,no,,,,,,,,,,Unknown,#N/A
1284,Irish Sea,no,,,,,,,,,,Unknown,#N/A
1285,St. George's Channel,no,,,,,,,,,,Unknown,#N/A
1286,Donegal Bay,no,,,,,,,,,,Unknown,#N/A
1287,Dingle Bay,no,,,,,,,,,,Unknown,#N/A
1288,Celtic Sea,no,,,,,,,,,,Unknown,#N/A
1289,Western Approaches,no,,,,,,,,,,Unknown,#N/A
1290,Finisterre Bay,no,,,,,,,,,,Unknown,#N/A
1291,Lusitanian Sea,no,,,,,,,,,,Unknown,#N/A
1292,Gulf of Cadiz,no,,,,,,,,,,Unknown,#N/A
1293,Straits of Gibraltar,no,,,,,,,,,,europe,#N/A
1294,Gulf of Almeira,no,,,,,,,,,,Unknown,#N/A
1295,Gulf of Valencia,no,,,,,,,,,,Unknown,#N/A
1296,Gulf of Lion,no,,,,,,,,,,Unknown,#N/A
1297,Cote D'Azur,no,,,,,,,,,,europe,#N/A
1298,Ligurian Sea,no,,,,,,,,,,Unknown,#N/A
1299,Coast of the Faroes,no,,,,,,,,,,Unknown,#N/A
1300,Western Mediterranean,no,,,,,,,,,,Unknown,#N/A
1301,Barbary Coast,no,,,,,,,,,,Unknown,#N/A
1302,Cape Bon,no,,,,,,,,,,Unknown,#N/A
1303,Tyrrenean Sea,no,,,,,,,,,,Unknown,#N/A
1304,Bay of Naples,no,,,,,,,,,,Unknown,#N/A
1305,Gulf of Gabes,no,,,,,,,,,,Unknown,#N/A
1307,Straits of Messina,no,,,,,,,,,,Unknown,#N/A
1308,Gulf of Venice,no,,,,,,,,,,europe,#N/A
1309,Adriatic Sea,no,,,,,,,,,,Unknown,#N/A
1310,Straits of Otranto,no,,,,,,,,,,Unknown,#N/A
1311,Gulf of Taranto,no,,,,,,,,,,Unknown,#N/A
1312,Ionian Sea,no,,,,,,,,,,Unknown,#N/A
1313,Gulf of Sirte,no,,,,,,,,,,Unknown,#N/A
1314,Gulf of Tobruk,no,,,,,,,,,,Unknown,#N/A
1315,Bay of Alexandrian,no,,,,,,,,,,Unknown,#N/A
1316,Palestinian Coast,no,,,,,,,,,,Unknown,#N/A
1317,Gulf of Cyprus,no,,,,,,,,,,Unknown,#N/A
1319,Aegean Sea,no,,,,,,,,,,Unknown,#N/A
1320,Sea of Marmara,no,,,,,,,,,,europe,#N/A
1321,Gulf of Varna,no,,,,,,,,,,Unknown,#N/A
1322,Gulf of Odessa,no,,,,,,,,,,Unknown,#N/A
1323,Sea of Azov,no,,,,,,,,,,europe,#N/A
1324,Eastern Black Sea,no,,,,,,,,,,Unknown,#N/A
1325,Lake Balaton,no,,,,,,,,,,Unknown,#N/A
1326,Caspian Sea,no,,,,,,,,,,Unknown,#N/A
1327,Aral Sea,no,,,,,,,,,,Unknown,#N/A
1328,Gulf of Suez,no,,,,,,,,,,Unknown,#N/A
1329,Red Sea,no,,,,,,,,,,Unknown,#N/A
1330,Straits of Obokk,no,,,,,,,,,,Unknown,#N/A
1331,Bal el Mandeb,no,,,,,,,,,,africa,#N/A
1332,Coast of Mascate,no,,,,,,,,,,Unknown,#N/A
1333,Mascate Coast,no,,,,,,,,,,Unknown,#N/A
1334,Straits of Hormuz,no,,,,,,,,,,Unknown,#N/A
1335,Persian Gulf,no,,,,,,,,,,asia,#N/A
1336,Gulf of Indus,no,,,,,,,,,,Unknown,#N/A
1337,Gulf of Gujarat,no,,,,,,,,,,Unknown,#N/A
1338,Laquedive Islands,no,,,,,,,,,,Unknown,#N/A
1339,Coast of Malabar,no,,,,,,,,,,Unknown,#N/A
1340,Comorin Cape,no,,,,,,,,,,asia,#N/A
1341,Coast of Caramandel,no,,,,,,,,,,Unknown,#N/A
1342,Coast of Orissa,no,,,,,,,,,,Unknown,#N/A
1343,Ganges Delta,no,,,,,,,,,,asia,#N/A
1344,Akyab Bay,no,,,,,,,,,,Unknown,#N/A
1345,Irrawady Delta,no,,,,,,,,,,Unknown,#N/A
1346,Andaman Sea,no,,,,,,,,,,Unknown,#N/A
1347,Mergui Archipelago,no,,,,,,,,,,Unknown,#N/A
1348,Straits of Malacca,no,,,,,,,,,,Unknown,#N/A
1349,Nicobar Isles,no,,,,,,,,,,Unknown,#N/A
1350,Coast of Atjeh,no,,,,,,,,,,Unknown,#N/A
1351,Coast of Sumatra,no,,,,,,,,,,Unknown,#N/A
1352,Christmas Island,no,,,,,,,,,,Unknown,#N/A
1353,Coast of Java,no,,,,,,,,,,Unknown,#N/A
1354,Coast of Surabaya,no,,,,,,,,,,Unknown,#N/A
1355,Straits of Lombok,no,,,,,,,,,,Unknown,#N/A
1356,Timor Sea,no,,,,,,,,,,Unknown,#N/A
1357,The Moluccas,no,,,,,,,,,,Unknown,#N/A
1358,Java Sea,no,,,,,,,,,,Unknown,#N/A
1359,Straits of Makassar,no,,,,,,,,,,Unknown,#N/A
1360,Karimata Strait,no,,,,,,,,,,Unknown,#N/A
1361,Straits of Johore,no,,,,,,,,,,asia,#N/A
1362,Malayan Sea,no,,,,,,,,,,Unknown,#N/A
1363,Coast of Sarawk,no,,,,,,,,,,Unknown,#N/A
1364,Mekong Delta,no,,,,,,,,,,Unknown,#N/A
1365,Gulf of Siam,no,,,,,,,,,,asia,#N/A
1366,Cam Rah Bay,no,,,,,,,,,,Unknown,#N/A
1367,South China Sea,no,,,,,,,,,,Unknown,#N/A
1368,Coast of Brunei,no,,,,,,,,,,Unknown,#N/A
1369,Coast of Annam,no,,,,,,,,,,Unknown,#N/A
1370,Gulf of Tonkin,no,,,,,,,,,,Unknown,#N/A
1371,Guanghou Bay,no,,,,,,,,,,asia,#N/A
1372,Taiwan Strait,no,,,,,,,,,,Unknown,#N/A
1373,Yang Tse Delta,no,,,,,,,,,,Unknown,#N/A
1374,Yellow Sea,no,,,,,,,,,,Unknown,#N/A
1375,Korea Bay,no,,,,,,,,,,Unknown,#N/A
1376,South Korean Sea,no,,,,,,,,,,asia,#N/A
1377,North Korean Sea,no,,,,,,,,,,Unknown,#N/A
1378,Coast of Olga,no,,,,,,,,,,Unknown,#N/A
1379,Tatar Straits,no,,,,,,,,,,Unknown,#N/A
1380,Amur Delta,no,,,,,,,,,,Unknown,#N/A
1381,Baj of Ayan,no,,,,,,,,,,Unknown,#N/A
1382,Bay of Komenskoie,no,,,,,,,,,,Unknown,#N/A
1383,Coast of Kamchatska,no,,,,,,,,,,Unknown,#N/A
1384,Oktothsk Sea,no,,,,,,,,,,Unknown,#N/A
1385,Coast Sahkalin,no,,,,,,,,,,Unknown,#N/A
1386,Soya Strait,no,,,,,,,,,,Unknown,#N/A
1387,Tsugaru Strait,no,,,,,,,,,,Unknown,#N/A
1388,Sea of Japan,no,,,,,,,,,,Unknown,#N/A
1389,Amakusa Sea,no,,,,,,,,,,Unknown,#N/A
1390,Setto Inland Sea,no,,,,,,,,,,Unknown,#N/A
1391,Tokai Sea,no,,,,,,,,,,Unknown,#N/A
1392,Ryukyu Islands,no,,,,,,,,,,Unknown,#N/A
1393,Luzon Strait,no,,,,,,,,,,Unknown,#N/A
1394,Paracel Islands,no,,,,,,,,,,Unknown,#N/A
1395,Manila Bay,no,,,,,,,,,,Unknown,#N/A
1396,Coast of Luzon,no,,,,,,,,,,Unknown,#N/A
1397,Gulf of Leyte,no,,,,,,,,,,Unknown,#N/A
1398,Sulu Sea,no,,,,,,,,,,Unknown,#N/A
1399,Sea of Celebes,no,,,,,,,,,,Unknown,#N/A
1400,Sea of Ternete,no,,,,,,,,,,asia,#N/A
1401,Sea of Banda,no,,,,,,,,,,Unknown,#N/A
1402,Philipine Sea,no,,,,,,,,,,Unknown,#N/A
1403,Palau Islands,no,,,,,,,,,,Unknown,#N/A
1404,Biak Bay,no,,,,,,,,,,Unknown,#N/A
1405,Vilian Strait,no,,,,,,,,,,Unknown,#N/A
1406,Trobrian Islands,no,,,,,,,,,,Unknown,#N/A
1407,Torres Strait,no,,,,,,,,,,Unknown,#N/A
1408,Arafuam Sea,no,,,,,,,,,,Unknown,#N/A
1409,Kolepom Bay,no,,,,,,,,,,Unknown,#N/A
1410,Gulf of Carpentaria,no,,,,,,,,,,Unknown,#N/A
1411,Great Barrier Reef,no,,,,,,,,,,Unknown,#N/A
1412,Capricorn Bay,no,,,,,,,,,,oceania,#N/A
1413,Cape Howe,no,,,,,,,,,,Unknown,#N/A
1414,Bass Strait,no,,,,,,,,,,Unknown,#N/A
1415,Kangaroo Island,no,,,,,,,,,,Unknown,#N/A
1416,Great Australian Bight,no,,,,,,,,,,Unknown,#N/A
1417,Cape Leuwiin,no,,,,,,,,,,Unknown,#N/A
1418,Shark Bay,no,,,,,,,,,,Unknown,#N/A
1419,Northwest Cape,no,,,,,,,,,,Unknown,#N/A
1420,King Sound,no,,,,,,,,,,Unknown,#N/A
1421,Tasman Sea,no,,,,,,,,,,Unknown,#N/A
1422,Southern Tasman Sea,no,,,,,,,,,,Unknown,#N/A
1423,Cook Strait,no,,,,,,,,,,Unknown,#N/A
1424,Northern Tasman Sea,no,,,,,,,,,,Unknown,#N/A
1425,Cape Farwell,no,,,,,,,,,,Unknown,#N/A
1426,Coast of New Zealand,no,,,,,,,,,,Unknown,#N/A
1427,Cantebury Bight,no,,,,,,,,,,Unknown,#N/A
1428,Sea of Antarctica,no,,,,,,,,,,Unknown,#N/A
1429,New Caledonian Sea,no,,,,,,,,,,Unknown,#N/A
1430,Coral Sea,no,,,,,,,,,,Unknown,#N/A
1431,Gilbert Sea,no,,,,,,,,,,Unknown,#N/A
1432,Solomon Sea,no,,,,,,,,,,Unknown,#N/A
1433,Nauru Island,no,,,,,,,,,,Unknown,#N/A
1434,Melanesia Sea,no,,,,,,,,,,Unknown,#N/A
1435,Micronesia Sea,no,,,,,,,,,,Unknown,#N/A
1436,Yap Islands,no,,,,,,,,,,Unknown,#N/A
1437,Mariana Islands,no,,,,,,,,,,Unknown,#N/A
1438,Tinian Sea,no,,,,,,,,,,Unknown,#N/A
1439,Iwo Jima Sea,no,,,,,,,,,,Unknown,#N/A
1440,Taihei Ocean,no,,,,,,,,,,Unknown,#N/A
1441,The Kuriles,no,,,,,,,,,,Unknown,#N/A
1442,Bay of Uka,no,,,,,,,,,,Unknown,#N/A
1443,Bay of Oljut,no,,,,,,,,,,Unknown,#N/A
1444,Bay of Anadyr,no,,,,,,,,,,Unknown,#N/A
1445,Bering Sea,no,,,,,,,,,,Unknown,#N/A
1446,Horn of Africa,no,,,,,,,,,,Unknown,#N/A
1447,Coast of Pepper,no,,,,,,,,,,Unknown,#N/A
1448,Zanzibar Strait,no,,,,,,,,,,africa,#N/A
1449,Mozambique Channel,no,,,,,,,,,,Unknown,#N/A
1450,Diego Suarez Bay,no,,,,,,,,,,Unknown,#N/A
1451,Western Arabian Sea,no,,,,,,,,,,Unknown,#N/A
1452,Eastern Arabian Sea,no,,,,,,,,,,Unknown,#N/A
1453,The Seychelles,no,,,,,,,,,,Unknown,#N/A
1454,Coast of Tamatave,no,,,,,,,,,,Unknown,#N/A
1455,The Mascareignes,no,,,,,,,,,,Unknown,#N/A
1456,Gulf of Zambeze,no,,,,,,,,,,Unknown,#N/A
1457,Coast of Natal,no,,,,,,,,,,Unknown,#N/A
1458,Coast of Transkei,no,,,,,,,,,,Unknown,#N/A
1459,Coast of Ciskei,no,,,,,,,,,,Unknown,#N/A
1460,Cape of Good Hope,no,,,,,,,,,,africa,#N/A
1461,Coast of Namibia,no,,,,,,,,,,Unknown,#N/A
1462,Coast of Angola,no,,,,,,,,,,Unknown,#N/A
1463,Gulf of Kongo,no,,,,,,,,,,africa,#N/A
1464,Coast of Cameroon,no,,,,,,,,,,Unknown,#N/A
1465,Gulf of Nigeria,no,,,,,,,,,,Unknown,#N/A
1466,Ivory Coast,no,,,,,,,,,,africa,#N/A
1467,Gold Coast,no,,,,,,,,,,Unknown,#N/A
1468,Coast of Gamvia,no,,,,,,,,,,Unknown,#N/A
1469,Coast of Guinea,no,,,,,,,,,,Unknown,#N/A
1470,Maueretanian Coast,no,,,,,,,,,,africa,#N/A
1471,Canarian Sea,no,,,,,,,,,,Unknown,#N/A
1472,Coast of Morocco,no,,,,,,,,,,Unknown,#N/A
1473,Jan Mayen Sea,no,,,,,,,,,,Unknown,#N/A
1474,Spitzberg Sea,no,,,,,,,,,,Unknown,#N/A
1475,Icelandic Sea,no,,,,,,,,,,Unknown,#N/A
1476,Shetland Straits,no,,,,,,,,,,Unknown,#N/A
1477,Coast of Iceland,no,,,,,,,,,,Unknown,#N/A
1478,Northeastern Atlantic,no,,,,,,,,,,Unknown,#N/A
1479,Rockall,no,,,,,,,,,,Unknown,#N/A
1480,Denmark Strait,no,,,,,,,,,,Unknown,#N/A
1481,Eastern Coast of Greenland,no,,,,,,,,,,Unknown,#N/A
1482,Western Coast of Greenland,no,,,,,,,,,,Unknown,#N/A
1483,Labrador Strait,no,,,,,,,,,,Unknown,#N/A
1484,Baffin Bay,no,,,,,,,,,,Unknown,#N/A
1485,Hudson Straits,no,,,,,,,,,,Unknown,#N/A
1486,James Bay,no,,,,,,,,,,north_america,#N/A
1487,Western Hudson Bay,no,,,,,,,,,,Unknown,#N/A
1488,Eastern Hudson Bay,no,,,,,,,,,,Unknown,#N/A
1489,Foxe Bassin,no,,,,,,,,,,Unknown,#N/A
1490,Gulf of St. Lawrence,no,,,,,,,,,,Unknown,#N/A
1491,Cabot Strait,no,,,,,,,,,,Unknown,#N/A
1492,Bay of Fundy,no,,,,,,,,,,Unknown,#N/A
1493,Strait of Belle Isle,no,,,,,,,,,,Unknown,#N/A
1494,Fortune Bay,no,,,,,,,,,,Unknown,#N/A
1495,Notre Dame Bay,no,,,,,,,,,,Unknown,#N/A
1496,Labrador Sea,no,,,,,,,,,,Unknown,#N/A
1497,Greenland Sea,no,,,,,,,,,,Unknown,#N/A
1498,Northern Atlantic,no,,,,,,,,,,Unknown,#N/A
1499,Masschusetts Bay,no,,,,,,,,,,Unknown,#N/A
1500,Chesapaeake Bay,no,,,,,,,,,,north_america,#N/A
1501,Cape Hatteras,no,,,,,,,,,,Unknown,#N/A
1502,Coast of Carolina,no,,,,,,,,,,Unknown,#N/A
1503,Coast of Florida,no,,,,,,,,,,Unknown,#N/A
1504,Sea of Sargassos,no,,,,,,,,,,Unknown,#N/A
1505,Florida Straits,no,,,,,,,,,,Unknown,#N/A
1506,Apalachee Bay,no,,,,,,,,,,Unknown,#N/A
1507,Mobile Bay,no,,,,,,,,,,north_america,#N/A
1508,Galveston Bay,no,,,,,,,,,,Unknown,#N/A
1509,Tampico Bay,no,,,,,,,,,,Unknown,#N/A
1510,Yucatan Sea,no,,,,,,,,,,Unknown,#N/A
1511,Gulf of Mexico,no,,,,,,,,,,Unknown,#N/A
1512,Yucatan Channel,no,,,,,,,,,,Unknown,#N/A
1513,Belize Bay,no,,,,,,,,,,Unknown,#N/A
1514,Moscitos Coast,no,,,,,,,,,,Unknown,#N/A
1515,Gulf of Darien,no,,,,,,,,,,Unknown,#N/A
1516,Jamica Channel,no,,,,,,,,,,north_america,#N/A
1517,Central Carribean,no,,,,,,,,,,Unknown,#N/A
1518,Northwestern Carribean,no,,,,,,,,,,Unknown,#N/A
1519,Venezualan Gulf,no,,,,,,,,,,Unknown,#N/A
1520,Venezuelan Sea,no,,,,,,,,,,Unknown,#N/A
1521,Eastern Carribean,no,,,,,,,,,,Unknown,#N/A
1522,Windward Islands,no,,,,,,,,,,Unknown,#N/A
1523,Lesser Antilles,no,,,,,,,,,,Unknown,#N/A
1524,Turks & Caicos Sea,no,,,,,,,,,,Unknown,#N/A
1525,Coast of Cuba,no,,,,,,,,,,Unknown,#N/A
1526,Coast of Hispaniola,no,,,,,,,,,,Unknown,#N/A
1527,Guyana Coast,no,,,,,,,,,,Unknown,#N/A
1528,Bay of Belem,no,,,,,,,,,,Unknown,#N/A
1529,Amazonas Gulf,no,,,,,,,,,,Unknown,#N/A
1530,Coast of Brazil,no,,,,,,,,,,Unknown,#N/A
1531,Coast of Recife,no,,,,,,,,,,south_america,#N/A
1532,Coast of Pernambuc,no,,,,,,,,,,Unknown,#N/A
1533,Todos Santos Bay,no,,,,,,,,,,Unknown,#N/A
1534,Rio De Janeiro,no,,,,,,,,,,Unknown,#N/A
1535,Baia Parangua,no,,,,,,,,,,Unknown,#N/A
1536,Rio De La Plata,no,,,,,,,,,,Unknown,#N/A
1537,Bahia Blanca,no,,,,,,,,,,Unknown,#N/A
1538,Coast of Patagonia,no,,,,,,,,,,Unknown,#N/A
1539,Magellan Strait,no,,,,,,,,,,Unknown,#N/A
1540,South Chilean Coast,no,,,,,,,,,,Unknown,#N/A
1541,Coast of Chile,no,,,,,,,,,,Unknown,#N/A
1542,Atacama Coast,no,,,,,,,,,,Unknown,#N/A
1543,Arica Gulf,no,,,,,,,,,,Unknown,#N/A
1544,Arequipa Bay,no,,,,,,,,,,south_america,#N/A
1545,Coast of Peru,no,,,,,,,,,,Unknown,#N/A
1546,Guayaguil Bay,no,,,,,,,,,,Unknown,#N/A
1547,Coast of Ecuador,no,,,,,,,,,,Unknown,#N/A
1548,Gulf of Panama,no,,,,,,,,,,Unknown,#N/A
1549,Bay of Costa Rica,no,,,,,,,,,,Unknown,#N/A
1550,Acapulco Bay,no,,,,,,,,,,Unknown,#N/A
1551,Manzazilla Bay,no,,,,,,,,,,north_america,#N/A
1552,Mazatlan Bay,no,,,,,,,,,,Unknown,#N/A
1553,Gulf of California,no,,,,,,,,,,Unknown,#N/A
1554,Coast of Baja,no,,,,,,,,,,Unknown,#N/A
1555,Coast of California,no,,,,,,,,,,Unknown,#N/A
1556,Santa Catalina Islands,no,,,,,,,,,,Unknown,#N/A
1557,Coast of Oregon,no,,,,,,,,,,Unknown,#N/A
1558,Coast of Columbia,no,,,,,,,,,,Unknown,#N/A
1559,Hecate Strait,no,,,,,,,,,,Unknown,#N/A
1560,Gulf of Alaska,no,,,,,,,,,,Unknown,#N/A
1561,Coast of Alaska,no,,,,,,,,,,Unknown,#N/A
1562,Kuskowim Bay,no,,,,,,,,,,Unknown,#N/A
1563,Hatton Bank,no,,,,,,,,,,Unknown,#N/A
1564,Eastern Gibbs Fracture,no,,,,,,,,,,Unknown,#N/A
1565,Western Gibbs Fracture,no,,,,,,,,,,Unknown,#N/A
1566,Iberian Shelf,no,,,,,,,,,,Unknown,#N/A
1567,Sea of Azores,no,,,,,,,,,,Unknown,#N/A
1568,Corner Seamounts,no,,,,,,,,,,Unknown,#N/A
1569,New England Seamounts,no,,,,,,,,,,Unknown,#N/A
1570,Sable Island Bank,no,,,,,,,,,,Unknown,#N/A
1571,Blake Plataeu,no,,,,,,,,,,Unknown,#N/A
1572,West Bermuda Sea,no,,,,,,,,,,Unknown,#N/A
1573,East Bermuda Sea,no,,,,,,,,,,Unknown,#N/A
1574,Some Funny Seaname,no,,,,,,,,,,Unknown,#N/A
